 0.96038,  3.91130, 648.71997, 11.27362, -35.69304, -0.29359
 0.78576,  3.12904, 648.71997, 11.23448, -35.77183, -0.25905
 1.13499,  3.99822, 647.66919, 11.35191, -35.77183, -0.24178
 0.87307,  3.73747, 650.12109, 11.35191, -35.69304, -0.24178
 1.04768,  4.25898, 648.01941, 11.15619, -35.89001, -0.18997
 1.04768,  3.56363, 648.71997, 11.35191, -35.61424, -0.31086
 1.22230,  3.21596, 649.42053, 11.31277, -35.73243, -0.25905
 1.22230,  3.91130, 648.71997, 11.23448, -35.73243, -0.25905
 0.69846,  3.82439, 649.77087, 11.11704, -35.73243, -0.22451
 0.96038,  3.99822, 648.01941, 11.27362, -35.81123, -0.20724
 1.48422,  3.65055, 648.71997, 11.19533, -35.96881, -0.22451
 1.30960,  3.99822, 645.91772, 11.15619, -35.81123, -0.27632
 0.61115,  3.47672, 649.07031, 11.03875, -35.57484, -0.18997
 1.04768,  3.56363, 649.42053, 11.15619, -35.77183, -0.34540
 0.87307,  3.65055, 649.07031, 11.07790, -35.81123, -0.25905
 0.78576,  3.65055, 649.42053, 10.96046, -35.73243, -0.22451
 0.96038,  3.47672, 646.61829, 10.99961, -35.89001, -0.18997
 0.61115,  3.38980, 649.07031, 11.03875, -35.73243, -0.27632
 0.96038,  3.38980, 648.71997, 11.07790, -35.65364, -0.31086
 0.96038,  3.38980, 646.61829, 10.84303, -35.77183, -0.20724
 0.96038,  3.56363, 648.36975, 10.88218, -35.65364, -0.29359
 1.22230,  3.65055, 648.71997, 10.76474, -35.85062, -0.20724
 0.87307,  3.65055, 648.01941, 10.96046, -35.81123, -0.31086
 1.30960,  3.38980, 648.36975, 10.80389, -35.89001, -0.24178
 1.13499,  3.30288, 646.26807, 10.92132, -35.85062, -0.24178
 1.57153,  3.47672, 648.71997, 10.72560, -35.85062, -0.29359
 1.57153,  3.12904, 648.71997, 10.84303, -35.92941, -0.31086
 0.78576,  3.30288, 648.71997, 10.72560, -35.77183, -0.22451
 1.22230,  3.38980, 648.71997, 10.92132, -35.92941, -0.29359
 1.04768,  3.30288, 647.31885, 10.72560, -35.69304, -0.29359
 1.22230,  3.38980, 648.71997, 10.76474, -35.77183, -0.31086
 1.30960,  3.04213, 649.77087, 10.76474, -35.81123, -0.34540
